iter	Passed	Remaining
398	120683	181781
399	120979	181469
400	121340	181254
401	121671	180993
402	121972	180689
403	122253	180353
404	122574	180079
405	122853	179741
406	123131	179402
407	123500	179196
408	123833	178937
409	124222	178759
410	124510	178435
411	124830	178156
412	125115	177827
413	125419	177526
414	125700	177192
415	125974	176848
416	126266	176531
417	126608	176282
418	126870	175922
419	127202	175660
420	127463	175299
421	127739	174960
422	128044	174661
423	128361	174377
424	128634	174034
425	128960	173764
426	129294	173503
427	129569	173162
428	129865	172851
429	130141	172513
430	130475	172251
431	130885	172090
432	131193	171793
433	131462	171445
434	131777	171159
435	132077	170852
436	132464	170658
437	132783	170375
438	133110	170102
439	133594	170029
440	133939	169778
441	134240	169471
442	134508	169122
443	134796	168799
444	135089	168482
445	135390	168175
446	135721	167906
447	136024	167601
448	136332	167302
449	136599	166955
450	136884	166629
451	137157	166287
452	137415	165930
453	137678	165577
454	137959	165247
455	138241	164919
456	138584	164664
457	138923	164403
458	139209	164078
459	139596	163873
460	139938	163615
461	140321	163404
462	140641	163119
463	140927	162795
464	141233	162494
465	141539	162193
466	141884	161937
467	142207	161654
468	142477	161312
469	142742	160964
470	143068	160685
471	143339	160345
472	143625	160022
473	143919	159708
474	144197	159376
475	144500	159071
476	144872	158843
477	145309	158685
478	145609	158376
479	145981	158146
480	146251	157806
481	146516	157459
482	146767	157099
483	147021	156742
484	147331	156444
485	147689	156198
486	147972	155872
487	148227	155517
488	148486	155166
489	148744	154815
490	149020	154483
491	149272	154126
492	149566	153814
493	149868	153508
494	150140	153173
495	150407	152833
496	150667	152486
497	150980	152192
498	151259	151865
499	151529	151529
500	151820	151214
501	152097	150885
502	152356	150538
503	152674	150250
504	152973	149944
505	153236	149602
506	153486	149248
507	153771	148928
508	154032	148585
509	154308	148256
510	154565	147910
511	154836	147578
512	155088	147228
513	155359	146896
514	155688	146619
515	155977	146304
516	156284	146006
517	156560	145679
518	156834	145351
519	157113	145027
520	157390	144702
521	157676	144385
522	157942	144050
523	158225	143731
524	158478	143384
525	158745	143052
526	159015	142721
527	159297	142402
528	159571	142076
529	159890	141789
530	160218	141510
531	160581	141263
532	160884	140962
533	161201	140673
534	161489	140359
535	161767	140037
536	162083	139747
537	162398	139457
538	162756	139204
539	163094	138932
540	163408	138640
541	163667	138302
542	163961	137993
543	164257	137686
544	164556	137382
545	164823	137051
546	165132	136755
547	165437	136455
548	165744	136157
549	166038	135849
550	166319	135531
551	166578	135193
552	166856	134873
553	167127	134546
554	167381	134206
555	167627	133861
556	167928	133559
557	168222	133251
558	168477	132913
559	168740	132582
560	169050	132287
561	169368	131998
562	169630	131667
563	169890	131334
564	170152	131002
565	170445	130695
566	170734	130384
567	170989	130048
568	171269	129731
569	171538	129406
570	171814	129086
571	172083	128761
572	172346	128432
573	172594	128092
574	172857	127764
575	173101	127421
576	173362	127092
577	173621	126761
578	173915	126456
579	174163	126118
580	174449	125807
581	174765	125518
582	175142	125273
583	175570	125063
584	176028	124875
585	176349	124588
586	176718	124334
587	177049	124054
588	177320	123733
589	177656	123456
590	178000	123184
591	178345	122914
592	178654	122618
593	178993	122342
594	179288	122036
595	179615	121752
596	179927	121458
597	180224	121154
598	180541	120863
599	180867	120578
600	181216	120308
601	181573	120043
602	181930	119778
603	182248	119487
604	182624	119234
605	182932	118936
606	183303	118679
607	183669	118418
608	184010	118141
609	184278	117817
610	184655	117563
611	184946	117253
612	185232	116940
613	185510	116624
614	185770	116295
615	186104	116013
616	186363	115684
617	186655	115375
618	186931	115057
619	187218	114746
620	187490	114426
621	187757	114103
622	188033	113786
623	188291	113457
624	188582	113149
625	188843	112823
626	189122	112508
627	189375	112177
628	189647	111858
629	189897	111526
630	190170	111209
631	190439	110888
632	190728	110580
633	191017	110271
634	191306	109963
635	191586	109650
636	191875	109342
