iter	MultiClass
0	1.484512296
1	1.293501418
2	1.152348649
3	1.036668604
4	0.9392246148
5	0.8578100495
6	0.7912805345
7	0.7342166817
8	0.6820336083
9	0.6368503439
10	0.5962720538
11	0.5588000222
12	0.5275417701
13	0.4995471298
14	0.472860891
15	0.4485905924
16	0.4260636596
17	0.406564439
18	0.3881572776
19	0.3714864073
20	0.3555886253
21	0.3418137805
22	0.3273955236
23	0.3165414313
24	0.3051104821
25	0.293905233
26	0.2838080238
27	0.2748440593
28	0.2658229629
29	0.2584933601
30	0.2506024044
31	0.2442471012
32	0.2382315669
33	0.2334191361
34	0.2280011952
35	0.2228158838
36	0.2186679829
37	0.2139064026
38	0.2089556952
39	0.2043629907
40	0.2006473412
41	0.1967103465
42	0.1922588422
43	0.1880736715
44	0.1841910959
45	0.1814940524
46	0.1792447118
47	0.1760730478
48	0.172723544
49	0.1705219578
50	0.1684414456
51	0.1662383221
52	0.1639451127
53	0.161649827
54	0.1585644891
55	0.1572386675
56	0.155371136
57	0.1535515738
58	0.1508777607
59	0.1481145188
60	0.1469010416
61	0.1450581576
62	0.14258524
63	0.1407623009
64	0.1388165998
65	0.1371437205
66	0.1361008166
67	0.1347275302
68	0.1327589134
69	0.1315378324
70	0.1300447803
71	0.1283476352
72	0.1264514649
73	0.1248340545
74	0.1238985034
75	0.1224295529
76	0.121285597
77	0.1197149876
78	0.1185095649
79	0.1172782155
80	0.1162906156
81	0.1148123664
82	0.1136791735
83	0.1122337033
84	0.1111950168
85	0.1101181678
86	0.1092613571
87	0.1081249412
88	0.1074134174
89	0.1064806878
90	0.1057299731
91	0.1050612113
92	0.104205334
93	0.1032824285
94	0.1021070431
95	0.1008080311
96	0.09963222381
97	0.098714037
98	0.09811156182
99	0.09723174288
100	0.09653533593
101	0.09577670217
102	0.09503296404
103	0.09430566679
104	0.09379159613
105	0.09286525008
106	0.09197707129
107	0.09142042375
108	0.09101366945
109	0.09004993124
110	0.08935893799
111	0.08836279426
112	0.08785612617
113	0.08760274478
114	0.0866815474
115	0.08564848716
116	0.0849465546
117	0.08403311019
118	0.08342410691
119	0.08299611876
120	0.0826349607
121	0.08225371491
122	0.08148867478
123	0.08044592545
124	0.07986751325
125	0.07966373002
126	0.07889915697
127	0.07828180522
128	0.07757049859
129	0.07716440377
130	0.07678540182
131	0.07625653876
132	0.07605496968
133	0.07531043252
134	0.07479104464
135	0.07428204526
136	0.07366733539
137	0.07324763556
138	0.07290286112
139	0.07212351367
140	0.07174904514
141	0.07114353016
142	0.07066320194
143	0.07000571209
144	0.06949083316
145	0.06905103223
146	0.06852250476
147	0.06793432992
148	0.06733934899
149	0.06687621658
150	0.06663326606
151	0.06632675434
152	0.06599312839
153	0.06543884887
154	0.06506917585
155	0.06465111831
156	0.0643667647
157	0.06379835508
158	0.06346947335
159	0.06308576114
160	0.06265202669
161	0.0623314385
162	0.06203519807
163	0.061896601
164	0.06139533159
165	0.06108786806
166	0.06071857261
167	0.06047588534
168	0.06005212093
169	0.05982317401
170	0.05946416301
171	0.05911905308
172	0.058531096
173	0.05809087107
174	0.05758645807
175	0.0572680698
176	0.05694411345
177	0.05639118768
178	0.05616180726
179	0.05595851247
180	0.05544243084
181	0.05531603935
182	0.05515310466
183	0.05497715454
184	0.05472944087
185	0.05427171839
186	0.05392251981
187	0.05361016332
188	0.05355236212
189	0.05336205139
190	0.05313892806
191	0.05284163857
192	0.05255098292
